2021-01-12 01:32:06 startup archives unpack
2021-01-12 01:32:06 install perl-modules-5.28:all <none> 5.28.1-6+deb10u1
2021-01-12 01:32:06 status half-installed perl-modules-5.28:all 5.28.1-6+deb10u1
2021-01-12 01:32:07 status unpacked perl-modules-5.28:all 5.28.1-6+deb10u1
2021-01-12 01:32:07 install libgdbm6:amd64 <none> 1.18.1-4
2021-01-12 01:32:07 status triggers-pending libc-bin:amd64 2.28-10
2021-01-12 01:32:07 status half-installed libgdbm6:amd64 1.18.1-4
2021-01-12 01:32:07 status unpacked libgdbm6:amd64 1.18.1-4
2021-01-12 01:32:07 install libgdbm-compat4:amd64 <none> 1.18.1-4
2021-01-12 01:32:07 status half-installed libgdbm-compat4:amd64 1.18.1-4
2021-01-12 01:32:07 status unpacked libgdbm-compat4:amd64 1.18.1-4
2021-01-12 01:32:07 install libperl5.28:amd64 <none> 5.28.1-6+deb10u1
2021-01-12 01:32:07 status half-installed libperl5.28:amd64 5.28.1-6+deb10u1
2021-01-12 01:32:08 status unpacked libperl5.28:amd64 5.28.1-6+deb10u1
2021-01-12 01:32:08 install perl:amd64 <none> 5.28.1-6+deb10u1
2021-01-12 01:32:08 status half-installed perl:amd64 5.28.1-6+deb10u1
2021-01-12 01:32:08 status unpacked perl:amd64 5.28.1-6+deb10u1
2021-01-12 01:32:08 install libssl1.1:amd64 <none> 1.1.1d-0+deb10u4
2021-01-12 01:32:08 status half-installed libssl1.1:amd64 1.1.1d-0+deb10u4
2021-01-12 01:32:08 status unpacked libssl1.1:amd64 1.1.1d-0+deb10u4
2021-01-12 01:32:08 install bzip2:amd64 <none> 1.0.6-9.2~deb10u1
2021-01-12 01:32:08 status half-installed bzip2:amd64 1.0.6-9.2~deb10u1
2021-01-12 01:32:08 status unpacked bzip2:amd64 1.0.6-9.2~deb10u1
2021-01-12 01:32:08 install libmagic-mgc:amd64 <none> 1:5.35-4+deb10u1
2021-01-12 01:32:08 status half-installed libmagic-mgc:amd64 1:5.35-4+deb10u1
2021-01-12 01:32:08 status unpacked libmagic-mgc:amd64 1:5.35-4+deb10u1
2021-01-12 01:32:08 install libmagic1:amd64 <none> 1:5.35-4+deb10u1
2021-01-12 01:32:08 status half-installed libmagic1:amd64 1:5.35-4+deb10u1
2021-01-12 01:32:08 status unpacked libmagic1:amd64 1:5.35-4+deb10u1
2021-01-12 01:32:08 install file:amd64 <none> 1:5.35-4+deb10u1
2021-01-12 01:32:08 status half-installed file:amd64 1:5.35-4+deb10u1
2021-01-12 01:32:08 status unpacked file:amd64 1:5.35-4+deb10u1
2021-01-12 01:32:08 install xz-utils:amd64 <none> 5.2.4-1
2021-01-12 01:32:08 status half-installed xz-utils:amd64 5.2.4-1
2021-01-12 01:32:08 status unpacked xz-utils:amd64 5.2.4-1
2021-01-12 01:32:08 install libsigsegv2:amd64 <none> 2.12-2
2021-01-12 01:32:08 status half-installed libsigsegv2:amd64 2.12-2
2021-01-12 01:32:08 status unpacked libsigsegv2:amd64 2.12-2
2021-01-12 01:32:09 install m4:amd64 <none> 1.4.18-2
2021-01-12 01:32:09 status half-installed m4:amd64 1.4.18-2
2021-01-12 01:32:09 status unpacked m4:amd64 1.4.18-2
2021-01-12 01:32:09 install autoconf:all <none> 2.69-11
2021-01-12 01:32:09 status half-installed autoconf:all 2.69-11
2021-01-12 01:32:09 status unpacked autoconf:all 2.69-11
2021-01-12 01:32:09 install binutils-common:amd64 <none> 2.31.1-16
2021-01-12 01:32:09 status half-installed binutils-common:amd64 2.31.1-16
2021-01-12 01:32:09 status unpacked binutils-common:amd64 2.31.1-16
2021-01-12 01:32:09 install libbinutils:amd64 <none> 2.31.1-16
2021-01-12 01:32:09 status half-installed libbinutils:amd64 2.31.1-16
2021-01-12 01:32:09 status unpacked libbinutils:amd64 2.31.1-16
2021-01-12 01:32:09 install binutils-x86-64-linux-gnu:amd64 <none> 2.31.1-16
2021-01-12 01:32:09 status half-installed binutils-x86-64-linux-gnu:amd64 2.31.1-16
2021-01-12 01:32:10 status unpacked binutils-x86-64-linux-gnu:amd64 2.31.1-16
2021-01-12 01:32:10 install binutils:amd64 <none> 2.31.1-16
2021-01-12 01:32:10 status half-installed binutils:amd64 2.31.1-16
2021-01-12 01:32:10 status unpacked binutils:amd64 2.31.1-16
2021-01-12 01:32:10 install openssl:amd64 <none> 1.1.1d-0+deb10u4
2021-01-12 01:32:10 status half-installed openssl:amd64 1.1.1d-0+deb10u4
2021-01-12 01:32:10 status unpacked openssl:amd64 1.1.1d-0+deb10u4
2021-01-12 01:32:10 install ca-certificates:all <none> 20200601~deb10u1
2021-01-12 01:32:10 status half-installed ca-certificates:all 20200601~deb10u1
2021-01-12 01:32:10 status unpacked ca-certificates:all 20200601~deb10u1
2021-01-12 01:32:10 install libisl19:amd64 <none> 0.20-2
2021-01-12 01:32:10 status half-installed libisl19:amd64 0.20-2
2021-01-12 01:32:10 status unpacked libisl19:amd64 0.20-2
2021-01-12 01:32:10 install libmpfr6:amd64 <none> 4.0.2-1
2021-01-12 01:32:10 status half-installed libmpfr6:amd64 4.0.2-1
2021-01-12 01:32:10 status unpacked libmpfr6:amd64 4.0.2-1
